"species","yearcollected","decimalLongitude","decimalLatitude"
"Gadus morhua",2014,-63.39725,47.3795
"Gadus morhua",2011,-64.26,48.30542
"Gadus morhua",2010,-60.37767,47.12025
"Gadus morhua",2011,-61.11617,47.38859
"Gadus morhua",2010,-63.72567,48.53884
"Gadus morhua",2010,-62.95792,48.29542
"Gadus morhua",2012,-63.05009,46.71967
"Gadus morhua",2014,-60.51633,47.47325
"Gadus morhua",2014,-63.21292,46.59475
"Gadus morhua",2010,-61.07309,47.27292
"Gadus morhua",2010,-63.26717,48.34025
"Gadus morhua",2010,-63.0715,47.11217
"Gadus morhua",2014,-63.65817,47.80458
"Gadus morhua",2013,-60.66958,47.14525
"Gadus morhua",2010,-64.10934,47.22667
"Gadus morhua",2011,-61.66759,45.97375
"Gadus morhua",2011,-60.97442,46.89067
"Gadus morhua",2014,-62.557,47.0725
"Gadus morhua",2013,-64.37242,47.4785
"Gadus morhua",2012,-62.45458,46.90292
"Gadus morhua",2010,-60.67884,47.53675
"Gadus morhua",2014,-65.29008,47.9565
"Gadus morhua",2013,-61.87284,46.69092
"Gadus morhua",2010,-64.29175,47.64475
"Gadus morhua",2010,-64.27417,47.91559
"Gadus morhua",2010,-63.19442,46.73667
"Gadus morhua",2013,-61.11158,46.976
"Gadus morhua",2010,-64.26592,47.04825
"Gadus morhua",2010,-62.57525,48.11125
"Gadus morhua",2010,-61.26067,46.64
"Gadus morhua",2012,-62.64383,48.19692
"Gadus morhua",2012,-61.93925,48.2755
"Gadus morhua",2012,-63.51917,46.936
"Gadus morhua",2012,-63.9565,47.44109
"Gadus morhua",2012,-63.23792,48.34258
"Gadus morhua",2012,-64.25409,48.215
"Gadus morhua",2010,-63.46884,47.18259
"Gadus morhua",2010,-61.901,45.99642
"Gadus morhua",2012,-61.14192,47.77484
"Gadus morhua",2012,-61.83359,47.69425
"Gadus morhua",2010,-60.89758,47.90983
"Gadus morhua",2014,-63.53542,47.53459
"Gadus morhua",2010,-63.4075,46.57259
"Gadus morhua",2013,-63.42217,47.91025
"Gadus morhua",2012,-60.76117,47.02758
"Gadus morhua",2013,-64.311,47.91592
"Gadus morhua",2011,-63.31942,47.02983
"Gadus morhua",2011,-64.18892,47.28675
"Gadus morhua",2011,-61.68833,46.641
"Gadus morhua",2011,-63.26784,48.39417
"Gadus morhua",2013,-63.26317,47.086
"Gadus morhua",2010,-63.58567,47.0415
"Gadus morhua",2011,-61.70283,46.88717
"Gadus morhua",2014,-63.7885,46.92425
"Gadus morhua",2013,-65.55275,47.81417
"Gadus morhua",2014,-64.09217,48.01325
"Gadus morhua",2014,-64.33842,46.97392
"Gadus morhua",2014,-61.47317,47.21592
"Gadus morhua",2014,-61.29784,47.103
"Gadus morhua",2014,-64.965,48.0705
"Gadus morhua",2014,-63.13892,47.70767
"Gadus morhua",2013,-63.7385,48.70292
"Gadus morhua",2013,-61.807,45.8625
"Gadus morhua",2010,-60.7145,47.32242
"Gadus morhua",2010,-61.71667,46.29217
"Gadus morhua",2014,-62.53217,46.7785
"Gadus morhua",2010,-64.46742,47.27425
"Gadus morhua",2013,-60.96567,47.95284
"Gadus morhua",2013,-61.10109,47.71284
"Gadus morhua",2013,-63.69042,48.03858
"Gadus morhua",2011,-65.27192,47.88617
"Gadus morhua",2013,-61.60542,47.06525
"Gadus morhua",2012,-63.32417,46.84717
"Gadus morhua",2012,-61.67075,46.89625
"Gadus morhua",2014,-63.27342,47.60517
"Gadus morhua",2011,-60.77417,47.10542
"Gadus morhua",2011,-61.2705,46.98684
"Gadus morhua",2011,-64.55642,46.83617
"Gadus morhua",2011,-64.55375,46.91917
"Gadus morhua",2013,-60.416,47.18609
"Gadus morhua",2012,-63.7075,48.86875
"Gadus morhua",2014,-63.76867,47.166
"Gadus morhua",2014,-64.1885,48.16392
"Gadus morhua",2014,-61.76183,46.9585
"Gadus morhua",2012,-62.76433,47.748
"Gadus morhua",2012,-61.41725,46.68709
"Gadus morhua",2014,-60.92292,47.31758
"Gadus morhua",2012,-61.69042,46.74567
"Gadus morhua",2012,-64.30675,47.63975
"Gadus morhua",2013,-61.71459,46.72542
"Gadus morhua",2013,-61.574,46.73075
"Gadus morhua",2012,-62.36975,46.65675
"Gadus morhua",2014,-62.73942,48.41725
"Gadus morhua",2014,-62.84975,48.31
"Gadus morhua",2014,-63.79742,48.94834
"Gadus morhua",2012,-64.346,47.00284
"Gadus morhua",2012,-62.16725,47.75959
"Gadus morhua",2012,-64.57409,47.19925
"Gadus morhua",2014,-62.60692,46.88992
"Gadus morhua",2013,-63.37717,48.09458
"Gadus morhua",2013,-63.30209,48.38283
"Gadus morhua",2013,-61.49959,46.32975
"Gadus morhua",2013,-61.65592,45.89617
"Gadus morhua",2013,-63.98667,48.4685
"Gadus morhua",2014,-63.2555,46.53367
"Gadus morhua",2014,-62.32584,46.664
"Gadus morhua",2014,-61.136,46.98025
"Gadus morhua",2011,-60.50717,47.09609
"Gadus morhua",2011,-61.53692,46.43834
"Gadus morhua",2013,-62.86767,46.82959
"Gadus morhua",2013,-60.83717,46.99133
"Gadus morhua",2012,-62.14909,48.21259
"Gadus morhua",2014,-63.98875,48.094
"Gadus morhua",2013,-62.48675,46.59175
"Gadus morhua",2012,-62.34017,47.42025
"Gadus morhua",2011,-62.90375,48.17042
"Gadus morhua",2011,-62.52967,48.04417
"Gadus morhua",2013,-64.61233,48.19042
"Gadus morhua",2013,-61.69184,45.77975
"Gadus morhua",2012,-63.89975,47.80283
"Gadus morhua",2014,-61.03967,47.50334
"Gadus morhua",2013,-64.5375,47.24117
"Gadus morhua",2012,-62.09217,46.85333
"Gadus morhua",2012,-61.57775,47.24367
"Gadus morhua",2012,-62.10575,46.02008
"Gadus morhua",2012,-63.77225,47.55342
"Gadus morhua",2012,-61.82708,46.84359
"Gadus morhua",2014,-63.88775,47.62459
"Gadus morhua",2012,-62.66284,45.94184
"Gadus morhua",2012,-61.57484,46.75642
"Gadus morhua",2010,-63.75608,47.10933
"Gadus morhua",2014,-60.95042,46.9085
"Gadus morhua",2014,-63.37983,48.795
"Gadus morhua",2013,-64.97158,48.0085
"Gadus morhua",2014,-62.46559,47.05534
"Gadus morhua",2010,-65.51284,47.8835
"Gadus morhua",2011,-62.36959,46.7025
"Gadus morhua",2010,-64.22134,48.15992
"Gadus morhua",2010,-64.21759,47.13034
"Gadus morhua",2011,-64.068,47.15742
"Gadus morhua",2011,-63.74859,47.34675
"Gadus morhua",2010,-61.42225,47.35875
"Gadus morhua",2011,-61.75792,46.94167
"Gadus morhua",2014,-62.06275,46.57017
"Gadus morhua",2011,-63.19075,47.22517
"Gadus morhua",2013,-63.66025,46.65225
"Gadus morhua",2011,-63.32934,47.708
"Gadus morhua",2011,-62.07309,47.01809
"Gadus morhua",2013,-61.9945,46.18259
"Gadus morhua",2014,-63.3,48.4775
"Gadus morhua",2010,-62.82292,46.88025
"Gadus morhua",2014,-61.33425,47.966
"Gadus morhua",2010,-63.41325,46.92742
"Gadus morhua",2010,-61.616,48.14842
"Gadus morhua",2012,-62.47075,48.04892
"Gadus morhua",2012,-62.9775,46.49167
"Gadus morhua",2012,-63.3685,48.50925
"Gadus morhua",2012,-61.0935,47.23434
"Gadus morhua",2012,-65.14792,47.861
"Gadus morhua",2010,-60.792,47.644
"Gadus morhua",2010,-63.76692,47.44059
"Gadus morhua",2013,-63.62042,48.49917
"Gadus morhua",2010,-60.89042,47.10325
"Gadus morhua",2013,-60.33109,47.33367
"Gadus morhua",2013,-60.65434,47.40975
"Gadus morhua",2010,-62.44975,47.46992
"Gadus morhua",2010,-64.4135,46.90684
"Gadus morhua",2010,-64.5805,47.18467
"Gadus morhua",2010,-61.78408,46.93392
"Gadus morhua",2010,-63.55208,48.60942
"Gadus morhua",2013,-64.46117,48.27117
"Gadus morhua",2013,-61.76009,46.10175
"Gadus morhua",2011,-61.52808,46.67392
"Gadus morhua",2011,-61.71909,46.29275
"Gadus morhua",2014,-64.06509,47.29392
"Gadus morhua",2011,-60.34725,47.40525
"Gadus morhua",2014,-64.0065,47.94875
"Gadus morhua",2013,-63.79,48.8985
"Gadus morhua",2014,-63.37025,48.51159
"Gadus morhua",2011,-64.429,46.93742
"Gadus morhua",2012,-61.685,47.67617
"Gadus morhua",2012,-62.923,48.07342
"Gadus morhua",2012,-61.9025,46.72067
"Gadus morhua",2012,-64.1995,47.32475
"Gadus morhua",2014,-63.93209,48.7845
"Gadus morhua",2014,-64.08392,48.42684
"Gadus morhua",2012,-63.85167,47.85717
"Gadus morhua",2013,-61.53975,48.1345
"Gadus morhua",2013,-62.911,48.07034
"Gadus morhua",2013,-61.88042,46.25942
"Gadus morhua",2014,-61.85459,46.28492
"Gadus morhua",2014,-62.10342,46.30425
"Gadus morhua",2013,-65.572,47.90992
"Gadus morhua",2012,-61.32725,47.96367
"Gadus morhua",2011,-65.65525,47.92434
"Gadus morhua",2013,-64.2635,47.71284
"Gadus morhua",2011,-64.14159,48.28458
"Gadus morhua",2011,-62.4165,47.43725
"Gadus morhua",2011,-62.00158,47.11009
"Gadus morhua",2013,-63.10592,48.54542
"Gadus morhua",2013,-64.35467,47.00217
"Gadus morhua",2010,-64.0725,48.36634
"Gadus morhua",2010,-63.06775,47.94409
"Gadus morhua",2013,-61.41334,46.54084
"Gadus morhua",2010,-64.64067,47.47858
"Gadus morhua",2010,-60.57259,47.40667
"Gadus morhua",2010,-62.6645,47.97884
"Gadus morhua",2010,-59.2177,49.9937
"Gadus morhua",2010,-57.4833,50.5493
"Gadus morhua",2010,-57.6383,50.9955
"Gadus morhua",2010,-59.3995,49.8642
"Gadus morhua",2011,-67.4493,48.9062
"Gadus morhua",2011,-61.2993,50.0455
"Gadus morhua",2011,-61.9032,49.4875
"Gadus morhua",2011,-62.7913,48.9712
"Gadus morhua",2012,-62.2593,48.3977
"Gadus morhua",2012,-59.379,49.93
"Gadus morhua",2012,-59.3642,49.9852
"Gadus morhua",2010,-68.387,48.9378
"Gadus morhua",2010,-69.0757,48.346
"Gadus morhua",2012,-62.7598,48.4232
"Gadus morhua",2011,-62.0393,49.79
"Gadus morhua",2010,-68.8187,48.5115
"Gadus morhua",2010,-67.5773,48.9003
